-70.8097 -69.1567 40.9436 41.8688 4.9842e+08 8.33634e+07 1.75467e+06 1.05237e+06 527886 91939.2 670666 2476.59 165953 1.10805e+06 3.20516e+07 1.01388e+06 285.831 3.00419e+07 43127.3 18.7392 43997.5 15084.8 1.48105e+08 169
-69.0828 -67.777 41.1976 42.9918 173683 63251.5 707.634 1094.49 4 391 3 57 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 38595 1
-70.6718 -68.8897 40.7414 42.1623 5.64967e+08 6.92473e+07 1.66068e+06 11842.4 779100 22399.9 703628 1786.81 166335 1.18498e+06 2.78703e+07 963232 243.559 2.67356e+07 44688.6 0 51159.7 21998.5 1.66784e+08 231
-70.4186 -68.4614 40.7823 41.7937 1.62485e+08 2.54441e+07 562573 5453.73 226501 5305.01 231063 658.967 -nan -nan 8.84706e+06 156889 181.688 9.01664e+06 13972.6 0 21644.6 8572.43 4.79931e+07 10
-69.3668 -68.3447 40.6023 41.8245 189762 70054.4 372.42 1478.58 120 397 116 68 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 44053 14
-69.0396 -67.3158 40.7387 42.1178 177593 64700.2 749.852 1189.49 7 381 6 78 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 41444 14
-69.8575 -69.132 41.4277 42.9869 180579 62372.8 631.846 1269.15 0 392 8 89 53 -nan -nan -nan -nan -nan -nan -nan -nan -nan 40124 5
-69.0024 -69.0001 41.8366 42.1044 181074 64711.1 630.85 1415.89 0 380 4 79 47 -nan -nan -nan -nan -nan -nan -nan -nan -nan 42742 5
-68.8352 -68.5897 41.844 42.1209 181425 66380.7 693.692 1498.8 0 366 5 78 47 -nan -nan -nan -nan -nan -nan -nan -nan -nan 43989 9
-67.8742 -66.8059 41.3361 41.7569 172015 63159.9 619.455 1402.89 0 357 4 76 47 -nan -nan -nan -nan -nan -nan -nan -nan -nan 39274 4
-68.8083 -68.0606 41.5409 41.6651 174027 63862.9 633.629 1424.51 0 367 4 67 47 -nan -nan -nan -nan -nan -nan -nan -nan -nan 40048 148
-68.6296 -68.1578 40.2041 42.1633 172624 63310.7 624.03 1397.13 0 365 4 69 47 -nan -nan -nan -nan -nan -nan -nan -nan -nan 39572 41
-68.8483 -67.8963 39.9098 41.5504 170110 62352.3 629.461 1365.31 0 362 3 67 47 -nan -nan -nan -nan -nan -nan -nan -nan -nan 37948 5
-68.9606 -68.4468 41.2944 41.5242 174382 63935.1 663.61 1443.92 0 364 4 67 47 -nan -nan -nan -nan -nan -nan -nan -nan -nan 40272 3
-69.1908 -67.3932 41.3169 41.8867 170825 62751.7 622.342 1340.74 0 362 4 69 47 76.2259 14597.3 0 0 -nan -nan -nan -nan -nan 45649 6
-69.3051 -69.2087 40.9542 41.5707 169390 62044 592.334 1360.47 0 375 2 68 -nan 23 -nan -nan -nan -nan -nan -nan -nan -nan 38068 5
-69.9593 -68.0461 41.8064 42.1086 694315 259202 2695.17 5297.58 0 639 1724 65 -nan 2615 -nan -nan -nan -nan -nan -nan -nan -nan 338372 42
-68.6626 -68.3387 41.1615 42.928 173361 63557.3 637.062 1362 0 387 12 67 -nan 34 -nan -nan -nan -nan -nan -nan -nan -nan 40468 55
-68.414 -66.4274 41.1069 41.5415 169781 62380.6 599.02 1296.06 0 365 5 67 -nan 15 -nan -nan -nan -nan -nan -nan -nan -nan 38337 7
-69.7194 -69.2769 40.5723 41.7837 173494 63849.1 643.283 1340.56 0 372 4 68 -nan 27 -nan -nan -nan -nan -nan -nan -nan -nan 40766 43
-68.4059 -68.2126 40.346 41.5771 176661 63824.1 648.377 1236.54 0 360 7 74 -nan 27 -nan -nan -nan -nan -nan -nan -nan -nan 40485 86
-68.2808 -67.891 40.4255 42.1547 172121 62870 621.817 1351.15 0 364 4 88 -nan 19 -nan -nan -nan -nan -nan -nan -nan -nan 39161 5
-68.7668 -67.6711 41.0889 41.8642 170138 62408.8 624.75 1365.74 0 359 2 87 -nan 12 -nan -nan -nan -nan -nan -nan -nan -nan 38594 5
-70.4502 -68.5206 41.3893 42.778 2.16505e+08 2.91391e+07 670695 5462.98 293852 18991 195802 4342.86 16423.7 448037 1.22175e+07 390986 72.0266 1.18413e+07 18905.8 0 17792.1 8120.17 6.38396e+07 37
-69.8797 -68.9849 41.1534 42.3242 200152 74081.8 367.776 1339.77 106 419 106 202.23 143 -nan -nan -nan -nan -nan -nan -nan -nan -nan 46996 37
-68.1063 -67.7791 42.0135 43.6822 191297 70799.2 336.546 1380.04 8 391 8 141.957 47 -nan -nan -nan -nan -nan -nan -nan -nan -nan 41786 8
-68.4968 -68.2287 41.9237 42.3862 195968 72730.5 346.581 1620.97 3.54004 396 5 122.277 49 -nan -nan -nan -nan -nan -nan -nan -nan -nan 45009 3
-67.6762 -66.0582 41.9936 42.3219 182051 67504.7 328.476 1521.66 0 366 6 67 47 -nan -nan -nan -nan -nan -nan -nan -nan -nan 39644 0
-70.0733 -68.3994 40.7798 41.9913 3.23926e+07 1.22756e+07 56014 288448 0 6656.34 73560.5 143.863 19618.4 126622 4.05956e+06 122421 154.306 -nan -nan -nan -nan -nan 1.6834e+07 79
-69.2424 -68.9283 41.5844 41.8995 188949 69620.2 382.541 1470.28 0 -nan -nan -nan -nan 238 20636 243 3 -nan -nan -nan -nan -nan 47920 15
-69.174 -68.9755 40.519 42.0086 172291 63199.6 518.104 1285 0 -nan -nan -nan -nan 26 20633 10 0 -nan -nan -nan -nan -nan 40197 79
-69.4833 -67.4871 39.7181 41.4895 174487 62283.8 549.253 1354.99 3.68684 -nan -nan -nan -nan 35 20657 15 0 -nan -nan -nan -nan -nan 40013 6
-70.1845 -68.4633 40.6751 42.649 1.30904e+08 1.78379e+07 386065 7401.53 176147 -nan -nan -nan -nan 215911 7.29928e+06 169925 66.6348 6.92903e+06 12004.5 0 12423 4800.84 3.82496e+07 169
-70.2783 -69.2242 41.5233 41.6577 8.12169e+06 1.83422e+06 38398 2257 19572 16948.9 -nan -nan 4596 -nan -nan -nan -nan -nan -nan -nan -nan -nan 3.85702e+06 0
-68.5419 -67.9441 42.1512 43.2818 206169 77540.7 706 1276 121 402.193 -nan -nan 153 -nan -nan -nan -nan -nan -nan -nan -nan -nan 44816 15
-68.8076 -68.8028 41.7877 42.1773 200397 74950.4 540 1270 5 372.485 -nan -nan 47 -nan -nan -nan -nan -nan -nan -nan -nan -nan 38246 24
-70.1343 -69.2668 40.6228 42.3687 7.18998e+07 2.75245e+07 402469 261385 118727 4028.77 154680 28.8509 18795.1 244733 6.19657e+06 179039 1877.51 -nan -nan -nan -nan -nan 3.24134e+07 15
-69.1674 -67.2815 40.6443 41.7546 202252 66504.2 547.534 1327.86 3.80881 -nan -nan -nan -nan 212 20651 237 3 -nan -nan -nan -nan -nan 41477 10
