3436 3484 88565 88600 3.86174e+07 1.60383e+07 353402 10981 177249 7275.46 162699 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 1.14989e+07 
6340 6410 82741 82813 3.19421e+08 1.5087e+07 316571 9662.83 139526 4959.87 140906 183.586 29368.4 287242 4.63403e+06 161028 5.90379 4.66583e+06 39635.8 0 45942.9 33152.7 9.44351e+07 
1916 1933 82751 82766 3.50472e+08 1.22603e+07 328900 12053.1 153538 4830.54 153620 103.659 32355.3 352192 7.29894e+06 207522 3.2714 5.34763e+06 41940.1 0 40636.3 36167.4 1.03605e+08 
9171 9242 85266 85356 3.02259e+08 1.20707e+07 309801 10007.6 139500 5063.19 137369 128.576 28072.3 280221 6.62438e+06 176608 3.49991 5.63305e+06 37016.9 0 41385.5 36352.9 8.94006e+07 
4966 4984 83787 83881 3.33748e+08 1.24139e+07 332899 10821.3 159675 4401.9 142750 98.6915 28057.6 285170 4.55245e+06 190285 14.0326 6.63911e+06 40202.7 0 41063.7 36168.7 9.86537e+07 
9794 9805 89007 89015 3.66152e+08 1.81971e+07 356417 13217.2 154903 6079.13 150697 257.33 36632.6 319649 5.1122e+06 180541 13.543 4.92462e+06 41873.7 0 42957.6 35171.2 1.08319e+08 
3801 3861 88424 88433 4.00675e+08 1.35345e+07 373120 11881 173663 6622.04 172921 429.863 38011.6 360765 5.59235e+06 202288 81.4662 5.61261e+06 48236 0 47041.9 42140.2 1.18472e+08 
6538 6565 81614 81651 3.02204e+08 1.05948e+07 284443 8885.47 132499 4841.97 135686 798.696 45602.6 309509 5.75735e+06 161895 166.827 4.47217e+06 36919.1 0 36570.8 30999.4 8.93709e+07 
9434 9490 80003 80103 2.95021e+08 9.40052e+06 257146 10318.6 123775 4674.11 123821 87.3433 25078.5 247233 3.82113e+06 137120 25.8505 5.5782e+06 33475 0 32024.6 27811.8 8.73129e+07 
3853 3894 80439 80455 3.31735e+08 1.53446e+07 321025 12175.9 144460 5380.12 147882 244.437 30434.7 304353 4.69726e+06 169360 12.2665 4.84127e+06 37824 0 48759.3 30951.5 9.81215e+07 
7728 7734 83795 83845 3.43635e+08 1.13007e+07 305554 13424.9 162794 13107.5 156220 104.726 28943.2 286342 4.53468e+06 162143 212.783 4.60152e+06 37575.5 0 37205.4 32807.8 1.01521e+08 
485 574 87361 87418 4.45612e+08 1.37498e+07 380748 10969.1 183617 7329.71 181827 194.5 36868.8 379809 9.25394e+06 234981 55.9007 8.19356e+06 50915 0 47907.3 42254.8 1.31724e+08 
1327 1358 89076 89083 4.66718e+08 1.4571e+07 396784 10596.6 211873 12594 219738 307.618 39117.7 389791 6.02801e+06 215104 38.7678 5.96087e+06 50600.7 5.7433 49132 43663.1 1.37836e+08 
331 423 82966 83055 4.04214e+08 1.32862e+07 354350 7577.04 165943 11965.4 184539 275.596 38887 336806 5.25709e+06 187955 44.8033 5.27649e+06 44428.5 0 45790.1 40636.7 1.19444e+08 
1956 1957 86913 86980 4.33706e+08 1.39861e+07 382050 13154.4 181800 6764.57 175696 128.268 35129.3 352053 5.52059e+06 197016 353.841 8.96731e+06 49141.9 0 46253.2 41901 1.28242e+08 
3744 3806 84423 84460 3.76722e+08 1.20015e+07 326678 11134.2 159397 5511.06 165366 111.37 33266.9 360301 7.31389e+06 203471 39.2527 5.1657e+06 42413.5 0 42167 36320.8 1.11333e+08 
179 261 81593 81611 3.89534e+08 1.22649e+07 331993 16201.8 176782 10312.6 178517 118.725 32799.7 326234 5.10653e+06 184218 17.9858 5.10961e+06 42800.3 39.214 42437.5 39708.6 1.15098e+08 
2454 2459 81432 81483 3.67658e+08 1.20089e+07 319752 9905.4 152758 5947.91 150218 257.701 30899.8 309392 4.89032e+06 171917 74.7493 4.82033e+06 43618.7 0 40092.3 34554.9 1.08709e+08 
6984 6990 86058 86133 3.72998e+08 1.19136e+07 318236 10087.3 151613 4926.85 176405 337.049 38217.3 339237 4.92963e+06 177427 34.4731 4.91359e+06 41892 32.9497 40870.4 36731.7 1.10296e+08 
2862 2883 82252 82260 3.74138e+08 1.21794e+07 325458 10504.4 151643 5491.1 149415 185.045 30813.4 310763 4.82604e+06 176348 20.742 4.95853e+06 44320.2 6.55043 41592.5 37845.3 1.10602e+08 
9213 9268 83888 83904 3.26992e+08 1.11498e+07 297571 15697.3 159849 10501.5 151983 96.6199 28197.1 276623 4.45941e+06 156337 202.06 4.502e+06 37071.2 0 36795.4 33212 9.65873e+07 
9482 9503 83316 83339 3.21998e+08 1.04492e+07 273437 9678.83 126910 4851.35 126413 95.2908 26966.1 268829 6.36736e+06 177563 31.4228 5.61956e+06 36674.4 23.8183 36397.3 31186.1 9.52691e+07 
5405 5442 88550 88595 4.06855e+08 1.84051e+07 382584 11362.4 165625 6190.55 169435 120.317 36030.5 349288 5.49693e+06 195680 253.467 5.3828e+06 44481 0 51794.7 39268.1 1.2028e+08 
7523 7590 80053 80111 3.13639e+08 1.02443e+07 275313 10152.4 131023 4813.21 129678 92.8139 25965.3 290128 5.76318e+06 167455 32.0543 4.14409e+06 35129.7 32.7096 35809.6 30612.5 9.27786e+07 
7440 7525 89383 89430 3.97773e+08 1.2783e+07 348219 10750.9 164910 5975.99 159780 117.626 32995.5 334088 5.26773e+06 188241 44.1061 5.27135e+06 43889.7 0 47460.1 39841.7 1.17588e+08 
1766 1826 89785 89876 1.79497e+08 1.42306e+07 195869 10041 76032.9 3076.42 73849.1 56.6487 15762.6 173217 3.61373e+06 227145 170.355 2.13141e+07 126524 -nan -nan 15584.6 5.32811e+07 
989 1007 82585 82643 4.04789e+08 1.28584e+07 348052 10291.1 164975 5817.47 161146 207.992 32419.6 332267 5.11613e+06 183579 44.2778 7.49111e+06 44066.9 0 43819.1 39117.6 1.19659e+08 
6819 6914 89060 89138 3.95683e+08 1.23871e+07 339738 12436.8 165516 12795.5 203988 288.299 42766.7 350627 5.32549e+06 193407 32.9008 5.34274e+06 44073.4 0 42997 38046.7 1.16958e+08 
2298 2383 86655 86739 4.21383e+08 1.95105e+07 396393 10069.5 176305 5482.97 171964 128.507 36032.7 353770 5.68561e+06 202268 271.325 5.8292e+06 47445.5 0 48918.7 39869 1.24574e+08 
7784 7867 86285 86347 3.64314e+08 1.15758e+07 315022 9801.18 150718 5844.22 152330 107.709 30899.9 302825 4.81133e+06 201870 46.7147 6.69051e+06 40470.5 4.48655 40223.3 35748.4 1.07676e+08 
8191 8202 84852 84878 3.48793e+08 1.13475e+07 308063 8188.26 146126 13128.2 164682 222.903 35721.9 294465 4.5566e+06 163055 158.724 4.58715e+06 40174.1 0 41062.4 35556.5 1.0308e+08 
940 976 88601 88695 4.59384e+08 1.43929e+07 394407 11023.6 188733 7679.28 186734 144.28 37557.2 379968 9.17252e+06 246318 119.694 8.66425e+06 50734.1 0 48449.6 44338.2 1.35755e+08 
9324 9418 80891 80917 3.01901e+08 9.53036e+06 255755 7150.11 122391 4258.45 143040 202.977 31445 272295 4.13346e+06 148446 186.503 4.262e+06 33511.5 0 33878.4 28238.8 8.92351e+07 
6428 6469 81253 81307 3.33882e+08 1.08728e+07 291553 11778.3 135917 4817.88 138283 98.807 28951.9 285547 6.44342e+06 179687 24.6727 5.64419e+06 36680.8 0 36735.6 33017.3 9.8771e+07 
