5606 5681 67557 67583 8.38634e+06 3.09809e+06 37716.5 2814.3 91491 5059 91498 85.0718 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 4.76901e+06 
2419 2505 65602 65626 2.36014e+08 1.4237e+07 242963 12870.7 112781 4041.36 96920 69.679 20222.6 196452 3.18973e+06 114110 21.7737 3.17848e+06 26737.7 0 29246.1 22737 6.96491e+07 
2436 2439 64382 64394 2.24459e+08 7.27148e+06 195902 7710.89 96951.3 4691.47 99471.8 353.26 29237.9 217535 4.21409e+06 108603 20.7216 3.04589e+06 25891.8 0 25293.7 22176.8 6.62963e+07 
1098 1175 65696 65758 2.51476e+08 8.09456e+06 212157 8877.87 100372 4088.82 101127 74.3971 21838.7 214529 3.41229e+06 118726 4.64865 4.50891e+06 28994.4 36.4368 27384.3 24791.1 7.43593e+07 
4330 4335 65552 65604 2.23014e+08 7.42953e+06 197919 8659.61 93311.4 3612.98 91626.9 65.9465 19683.5 189767 3.06341e+06 129785 304.846 4.58689e+06 24124.9 0 24484.4 22001.2 6.59195e+07 
5707 5715 69333 69357 2.37566e+08 7.85861e+06 212042 6345.43 99095.6 3711.98 99405.7 70.2243 20637.2 224662 4.75247e+06 136031 222.413 3.25857e+06 27199.3 0 25873.3 23131.3 7.01875e+07 
2260 2284 68278 68315 2.53657e+08 8.39876e+06 219768 7141.73 104329 3876.06 104524 79.7247 21780.2 217512 3.43824e+06 124309 18.7525 3.61158e+06 34690.1 23.6757 27342.9 24967.3 7.49985e+07 
6405 6497 65666 65699 2.04605e+08 7.06369e+06 182967 6324.95 85748.7 3420.52 86433.6 60.5328 17923.2 180009 2.80954e+06 140276 25.275 4.72529e+06 22927.7 0 22259.1 21060.5 6.04727e+07 
4142 4196 60169 60186 1.4368e+08 9.21687e+06 209505 4227.06 95807.9 4070.1 61349.4 114.197 13298.3 -nan -nan -nan -nan 5.66791e+06 15593 0 22183.1 14153.2 4.25298e+07 
5022 5042 64149 64249 2.056e+08 6.9688e+06 181800 6774.75 86373.6 2949.49 85731.7 61.1905 17388.6 175001 2.80285e+06 100918 225.503 2.91407e+06 37376.8 0 23850.9 19734.7 6.11526e+07 
5368 5375 61860 61904 1.87809e+08 6.11711e+06 161416 5565.3 77997.4 2942.76 78678 97.2899 16904.1 169560 2.79529e+06 74571.6 218.554 4.54657e+06 20151.5 0 20079.2 18073.8 5.55394e+07 
6320 6375 67082 67177 2.19467e+08 7.51302e+06 194400 7885.66 92852.2 4956.24 94033.1 658.651 29818.9 192349 4.34982e+06 116378 8.10517 2.80378e+06 24137.4 0 25621.3 22286.6 6.48243e+07 
8514 8527 62356 62398 1.7081e+08 5.60094e+06 149931 5681.31 73221 3653.49 74816.8 297.124 -nan 151766 -nan 130546 40.8123 3.3597e+06 18705.8 0 19183.1 16823.5 5.04775e+07 
2485 2558 60980 61069 2.03275e+08 6.55232e+06 173534 6710.06 82172.7 2812.66 84722.8 60.2796 18022.7 173185 2.79792e+06 100937 406.483 6.38134e+06 23166.7 0 22620.4 19744.8 6.02499e+07 
7047 7064 69770 69802 2.3225e+08 7.56138e+06 243001 16749.9 109019 9080.7 97534.5 68.5818 20955.3 200933 3.21301e+06 113516 4.28473 3.21197e+06 26406.3 0 24413.6 22299.9 6.85424e+07 
1367 1396 66322 66359 2.48116e+08 1.40419e+07 255793 13461.3 117603 5844.65 103440 73.2635 21566.9 214439 3.2707e+06 115889 13.7331 3.36613e+06 27859 0 29693.9 24052.3 7.32226e+07 
7770 7789 60907 60930 1.6292e+08 5.73723e+06 151410 6392.06 71600.3 3227.74 70896.6 105.434 14942 141582 2.31076e+06 86901.5 -nan -nan 20635.6 0 19006.7 16205.1 4.83121e+07 
8150 8165 65037 65049 1.91633e+08 2.61767e+07 222570 13937 92993.3 6710.55 78626.9 56.5741 16842.3 165061 2.66311e+06 91732.8 17.6746 2.51415e+06 20389.6 32.3614 -nan 20406.2 5.65409e+07 
6866 6907 65433 65468 2.0006e+08 6.49384e+06 174867 23874.9 110367 11918.7 97495.3 59.0656 16996.7 173505 2.78131e+06 98627 3.69124 2.84298e+06 22752 0 22349.4 19426.2 5.90366e+07 
2980 3037 65493 65562 2.29846e+08 7.56518e+06 202833 5456.15 112802 9764.91 115067 84.8333 20603.6 210581 3.08143e+06 113028 12.7269 3.12909e+06 26365 0 24437.1 21854.9 6.78581e+07 
1333 1421 60667 60730 2.07285e+08 6.80082e+06 180566 8138.91 86309.4 3727.4 87078.2 61.452 19329.3 180449 3.07225e+06 135244 15.4352 4.0712e+06 21940.8 0 22361.9 20020.7 6.14103e+07 
949 1014 65962 65973 2.4816e+08 7.84997e+06 209916 6370.81 102368 4568.44 118135 355.659 27339.2 234889 3.425e+06 122545 22.9065 3.39485e+06 26292.5 0 27665.5 24156.2 7.32881e+07 
9073 9101 69527 69614 2.1738e+08 1.33591e+07 222426 11477.6 91123.3 3533.19 95409.8 64.1858 19117.3 193019 2.8978e+06 102277 20.0505 2.90069e+06 23503.8 50.0165 25255.9 28297 6.41468e+07 
7018 7027 66787 66856 1.51297e+08 2.33066e+07 572085 15147.4 0 -nan 158923 208.508 16828.6 162495 1.97683e+06 73925.4 0 2.16442e+06 17635.3 0 69675.2 43064.2 4.46656e+07 
1727 1785 69363 69370 2.71867e+08 1.28439e+07 263924 16432.7 112203 5445.34 109461 80.2965 22367.2 222792 3.57083e+06 126918 20.0669 3.54767e+06 30194.8 0 31064.2 28293.6 8.02483e+07 
77 105 62433 62522 2.2691e+08 1.52493e+07 232569 12566 105553 5992.78 91619.4 66.9954 19074.3 190984 3.04501e+06 109448 16.7445 3.03854e+06 25338 0 24122.7 21002.7 6.69543e+07 
9496 9527 63963 63997 8.71065e+07 5.83351e+06 151346 6264.71 71738.9 3365.81 75076.2 132.285 15743.3 152063 2.84603e+06 130857 7.4327 3.47995e+06 18769.1 0 18114.3 16650.4 5.20574e+07 
2622 2669 62647 62690 2.10585e+08 7.32912e+06 249427 16112.5 105985 8258.42 89773.7 62.1813 17763.9 180109 2.82086e+06 99743.8 3.88479 2.78911e+06 23236.1 0 24598.7 20845.7 6.21463e+07 
802 854 60381 60467 2.10858e+08 1.34968e+07 214795 11352.1 96777 4156.2 84009.3 66.1412 17253.8 173785 2.76849e+06 98138 50.5605 2.87465e+06 22885 54.4679 24974.6 -nan 6.22118e+07 
